RespondentNumber,Task,Concept,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Response
66,11,7,0,0,0,0,0,0,0,0,0
66,12,1,1,1,1,1,1,1,2,1,0
66,12,2,2,1,3,1,1,1,4,1,0
66,12,3,3,1,3,1,3,2,2,3,1
66,12,4,1,3,3,1,1,1,2,1,0
66,12,5,2,3,3,1,2,1,2,2,0
66,12,6,3,1,5,2,2,1,3,4,0
66,12,7,0,0,0,0,0,0,0,0,0
66,13,1,1,1,1,1,1,1,2,1,0
66,13,2,2,1,1,1,2,1,2,1,0
66,13,3,3,1,3,1,2,2,4,3,1
66,13,4,1,2,3,1,1,1,2,1,0
66,13,5,2,3,1,1,1,1,3,1,0
66,13,6,3,1,3,1,2,1,3,4,0
66,13,7,0,0,0,0,0,0,0,0,0
66,14,1,1,1,2,1,1,1,2,1,0
66,14,2,2,1,3,1,1,1,2,1,0
66,14,3,3,1,5,1,3,2,2,2,0
66,14,4,1,2,1,1,1,1,1,1,0
66,14,5,2,3,2,1,2,1,4,1,0
66,14,6,3,1,6,1,3,1,2,4,0
66,14,7,0,0,0,0,0,0,0,0,1
77,1,1,1,1,1,1,1,1,1,1,0
77,1,2,2,1,1,1,1,1,3,2,0
77,1,3,3,1,5,2,2,1,3,2,0
77,1,4,1,2,1,1,1,1,2,1,0
77,1,5,2,1,2,1,2,1,2,2,1
77,1,6,3,1,5,1,3,1,4,3,0
77,1,7,0,0,0,0,0,0,0,0,0
77,2,1,1,1,1,1,1,1,2,1,0
77,2,2,2,1,1,1,1,1,2,1,0
77,2,3,3,1,2,1,3,1,2,3,0
77,2,4,1,2,3,1,1,1,1,1,0
77,2,5,2,1,2,1,2,1,3,1,1
77,2,6,3,3,2,2,3,2,2,4,0
77,2,7,0,0,0,0,0,0,0,0,0
77,3,1,1,1,2,1,1,1,1,1,0
77,3,2,2,1,2,1,1,1,3,2,0
77,3,3,3,1,3,2,2,1,2,3,0
77,3,4,1,1,3,1,1,1,1,1,0
77,3,5,2,3,5,1,1,1,4,2,0
77,3,6,3,1,6,2,3,2,4,4,1
77,3,7,0,0,0,0,0,0,0,0,0
77,4,1,1,1,1,1,1,1,1,1,0
77,4,2,2,1,2,1,2,1,2,1,0
77,4,3,3,1,5,2,3,2,4,2,1
77,4,4,1,1,2,1,1,1,1,1,0
77,4,5,2,3,1,1,1,1,2,1,0
77,4,6,3,1,2,1,2,2,2,4,0
77,4,7,0,0,0,0,0,0,0,0,0
77,5,1,1,1,2,1,1,1,2,1,0
77,5,2,2,1,2,1,1,1,4,2,0
77,5,3,3,1,5,1,3,1,4,2,1
77,5,4,1,2,1,1,1,1,2,1,0
77,5,5,2,3,3,1,1,1,3,2,0
77,5,6,3,3,3,1,3,1,3,3,0
77,5,7,0,0,0,0,0,0,0,0,0
77,6,1,1,1,2,1,1,1,1,1,0
77,6,2,2,1,3,1,2,1,3,1,0
77,6,3,3,1,5,1,3,2,2,3,0
77,6,4,1,3,2,1,1,1,1,1,0
77,6,5,2,1,5,1,2,1,3,2,1
77,6,6,3,3,3,1,2,1,3,4,0
77,6,7,0,0,0,0,0,0,0,0,0
77,7,1,1,1,2,1,1,1,1,1,0
77,7,2,2,1,3,1,2,1,4,1,0
77,7,3,3,1,3,2,3,2,4,4,0
77,7,4,1,3,3,1,1,1,2,1,0
77,7,5,2,3,1,1,2,1,2,1,1
77,7,6,3,3,4,2,3,2,4,4,0
77,7,7,0,0,0,0,0,0,0,0,0
77,8,1,1,1,2,1,1,1,2,1,0
77,8,2,2,1,3,1,2,1,2,1,0
77,8,3,3,1,2,2,2,2,3,1,0
77,8,4,1,3,1,1,1,1,2,1,0
77,8,5,2,3,3,1,2,1,4,2,0
77,8,6,3,1,6,2,2,1,2,3,1
77,8,7,0,0,0,0,0,0,0,0,0
77,9,1,1,1,1,1,1,1,2,1,0
77,9,2,2,1,1,1,2,1,4,1,0
77,9,3,3,1,3,1,2,2,3,2,1
77,9,4,1,1,2,1,1,1,2,1,0
77,9,5,2,1,2,1,1,1,4,2,0
77,9,6,3,3,1,2,2,2,3,4,0
77,9,7,0,0,0,0,0,0,0,0,0
77,10,1,1,1,1,1,1,1,1,1,0
77,10,2,2,1,3,1,2,1,2,1,0
77,10,3,3,1,5,2,3,2,2,2,1
77,10,4,1,3,1,1,1,1,1,1,0
77,10,5,2,3,5,1,1,1,4,1,0
77,10,6,3,1,1,2,3,2,3,3,0
77,10,7,0,0,0,0,0,0,0,0,0
77,11,1,1,1,1,1,1,1,1,1,0
77,11,2,2,1,2,1,2,1,4,2,0
77,11,3,3,1,5,2,3,1,2,3,0
77,11,4,1,1,1,1,1,1,2,1,0
77,11,5,2,3,2,1,1,1,3,2,1
77,11,6,3,3,3,2,2,2,4,4,0
77,11,7,0,0,0,0,0,0,0,0,0
77,12,1,1,1,1,1,1,1,2,1,0
77,12,2,2,1,3,1,1,1,4,1,0
77,12,3,3,1,3,1,3,2,2,3,0
77,12,4,1,3,3,1,1,1,2,1,0
77,12,5,2,3,3,1,2,1,2,2,1
77,12,6,3,1,5,2,2,1,3,4,0
77,12,7,0,0,0,0,0,0,0,0,0
77,13,1,1,1,1,1,1,1,2,1,0
77,13,2,2,1,1,1,2,1,2,1,0
77,13,3,3,1,3,1,2,2,4,3,0
77,13,4,1,2,3,1,1,1,2,1,0
77,13,5,2,3,1,1,1,1,3,1,1
77,13,6,3,1,3,1,2,1,3,4,0
77,13,7,0,0,0,0,0,0,0,0,0
77,14,1,1,1,2,1,1,1,2,1,0
77,14,2,2,1,3,1,1,1,2,1,0
77,14,3,3,1,5,1,3,2,2,2,0
77,14,4,1,2,1,1,1,1,1,1,0
77,14,5,2,3,2,1,2,1,4,1,1
77,14,6,3,1,6,1,3,1,2,4,0
77,14,7,0,0,0,0,0,0,0,0,0
280,1,1,1,1,2,1,1,1,1,1,0
280,1,2,2,1,2,1,2,1,3,1,0
280,1,3,3,1,5,1,3,1,3,3,0
280,1,4,1,1,3,1,1,1,2,1,0
280,1,5,2,1,1,1,2,1,4,1,1
280,1,6,3,3,6,2,3,1,3,4,0
280,1,7,0,0,0,0,0,0,0,0,0
280,2,1,1,1,2,1,1,1,1,1,0
280,2,2,2,1,1,1,2,1,3,2,0
280,2,3,3,1,5,1,3,2,4,3,0
280,2,4,1,3,1,1,1,1,1,1,0
280,2,5,2,3,3,1,2,1,2,2,1
280,2,6,3,1,1,2,2,2,4,4,0
280,2,7,0,0,0,0,0,0,0,0,0
280,3,1,1,1,1,1,1,1,2,1,0
280,3,2,2,1,1,1,1,1,2,1,0
280,3,3,3,1,5,2,3,2,3,2,0
280,3,4,1,3,3,1,1,1,1,1,0
280,3,5,2,3,2,1,1,1,3,2,0
280,3,6,3,3,4,2,2,1,2,3,1
280,3,7,0,0,0,0,0,0,0,0,0
280,4,1,1,1,2,1,1,1,2,1,0
280,4,2,2,1,3,1,2,1,3,1,1
280,4,3,3,1,2,2,2,2,2,2,0
280,4,4,1,1,2,1,1,1,2,1,0
280,4,5,2,1,2,1,2,1,3,1,0
280,4,6,3,1,2,1,3,2,4,3,0
280,4,7,0,0,0,0,0,0,0,0,0
280,5,1,1,1,1,1,1,1,1,1,0
280,5,2,2,1,2,1,2,1,2,2,0
280,5,3,3,1,3,1,3,2,3,3,0
280,5,4,1,2,2,1,1,1,2,1,0
280,5,5,2,3,2,1,2,1,2,2,1
280,5,6,3,3,6,2,3,2,4,4,0
280,5,7,0,0,0,0,0,0,0,0,0
280,6,1,1,1,2,1,1,1,2,1,0
280,6,2,2,1,2,1,2,1,4,1,0
280,6,3,3,1,3,2,2,2,2,2,1
280,6,4,1,2,1,1,1,1,2,1,0
280,6,5,2,3,5,1,1,1,3,2,0
280,6,6,3,1,5,2,3,1,2,4,0
280,6,7,0,0,0,0,0,0,0,0,0
280,7,1,1,1,1,1,1,1,1,1,0
280,7,2,2,1,1,1,1,1,4,1,0
280,7,3,3,1,2,1,2,1,2,1,1
280,7,4,1,3,2,1,1,1,1,1,0
280,7,5,2,3,1,1,1,1,4,2,0
280,7,6,3,1,3,1,2,2,3,3,0
280,7,7,0,0,0,0,0,0,0,0,0
280,8,1,1,1,2,1,1,1,1,1,0
280,8,2,2,1,3,1,1,1,4,1,0
280,8,3,3,1,3,2,2,1,4,2,1
280,8,4,1,1,3,1,1,1,1,1,0
280,8,5,2,1,3,1,1,1,2,1,0
280,8,6,3,3,3,1,3,1,2,4,0
280,8,7,0,0,0,0,0,0,0,0,0
280,9,1,1,1,1,1,1,1,2,1,0
280,9,2,2,1,3,1,1,1,2,2,0
280,9,3,3,1,5,2,3,1,4,4,0
280,9,4,1,2,1,1,1,1,2,1,0
280,9,5,2,1,5,1,2,1,4,2,1
280,9,6,3,3,2,1,2,2,3,4,0
280,9,7,0,0,0,0,0,0,0,0,0
280,10,1,1,1,2,1,1,1,2,1,0
280,10,2,2,1,1,1,2,1,4,1,0
280,10,3,3,1,5,1,2,1,4,3,1
280,10,4,1,1,2,1,1,1,2,1,0
280,10,5,2,3,2,1,2,1,4,2,0
280,10,6,3,1,4,1,3,1,2,4,0
280,10,7,0,0,0,0,0,0,0,0,0
280,11,1,1,1,1,1,1,1,2,1,0
280,11,2,2,1,3,1,1,1,3,2,0
280,11,3,3,1,2,1,3,1,3,3,0
280,11,4,1,2,2,1,1,1,1,1,0
280,11,5,2,3,1,1,2,1,3,2,1
280,11,6,3,3,2,2,3,1,4,4,0
280,11,7,0,0,0,0,0,0,0,0,0
280,12,1,1,1,2,1,1,1,1,1,0
280,12,2,2,1,3,1,2,1,2,2,1
280,12,3,3,1,3,2,3,2,4,3,0
280,12,4,1,1,1,1,1,1,2,1,0
280,12,5,2,1,2,1,1,1,4,2,0
280,12,6,3,3,2,2,2,1,2,4,0
280,12,7,0,0,0,0,0,0,0,0,0
280,13,1,1,1,2,1,1,1,2,1,0
280,13,2,2,1,2,1,2,1,3,2,0
280,13,3,3,1,3,2,2,2,2,2,0
280,13,4,1,3,3,1,1,1,2,1,0
280,13,5,2,1,3,1,1,1,4,2,0
280,13,6,3,3,2,1,3,2,3,3,0
280,13,7,0,0,0,0,0,0,0,0,1
280,14,1,1,1,1,1,1,1,1,1,0
280,14,2,2,1,1,1,2,1,4,2,0
280,14,3,3,1,5,2,3,2,2,4,0
280,14,4,1,1,2,1,1,1,1,1,0
280,14,5,2,1,2,1,2,1,4,2,1
280,14,6,3,3,5,2,3,1,4,4,0
280,14,7,0,0,0,0,0,0,0,0,0
221,1,1,1,1,2,1,1,1,1,1,0
221,1,2,2,1,3,1,1,1,4,1,0
221,1,3,3,1,2,2,2,2,2,3,0
221,1,4,1,2,3,1,1,1,2,1,0
221,1,5,2,3,2,1,1,1,2,2,0
221,1,6,3,3,2,2,2,2,2,4,1
221,1,7,0,0,0,0,0,0,0,0,0
221,2,1,1,1,1,1,1,1,1,1,0
221,2,2,2,1,3,1,1,1,2,1,0
221,2,3,3,1,3,1,2,2,2,2,0
221,2,4,1,1,1,1,1,1,2,1,0
221,2,5,2,1,1,1,2,1,4,2,0
221,2,6,3,3,3,2,3,1,4,4,1
221,2,7,0,0,0,0,0,0,0,0,0
221,3,1,1,1,2,1,1,1,2,1,0
221,3,2,2,1,1,1,1,1,4,1,0
221,3,3,3,1,3,2,3,2,3,2,0
221,3,4,1,2,2,1,1,1,2,1,0
221,3,5,2,1,3,1,2,1,4,1,0
221,3,6,3,1,3,2,2,2,4,3,1
221,3,7,0,0,0,0,0,0,0,0,0
221,4,1,1,1,1,1,1,1,1,1,0
221,4,2,2,1,1,1,2,1,3,1,0
221,4,3,3,1,2,1,3,1,4,2,0
221,4,4,1,2,1,1,1,1,1,1,0
221,4,5,2,1,5,1,1,1,2,2,0
221,4,6,3,1,4,2,3,1,3,4,1
221,4,7,0,0,0,0,0,0,0,0,0
221,5,1,1,1,2,1,1,1,1,1,0
221,5,2,2,1,1,1,2,1,2,2,0
221,5,3,3,1,3,2,3,1,2,4,0
221,5,4,1,3,3,1,1,1,1,1,0
221,5,5,2,3,2,1,2,1,3,2,1
221,5,6,3,1,6,1,3,2,3,4,0
221,5,7,0,0,0,0,0,0,0,0,0
221,6,1,1,1,1,1,1,1,2,1,0
221,6,2,2,1,2,1,1,1,3,1,0
221,6,3,3,1,5,2,3,1,4,1,0
221,6,4,1,1,3,1,1,1,2,1,0
221,6,5,2,3,2,1,2,1,4,1,0
221,6,6,3,3,1,2,3,1,2,3,1
221,6,7,0,0,0,0,0,0,0,0,0
221,7,1,1,1,2,1,1,1,2,1,0
221,7,2,2,1,2,1,2,1,2,1,0
221,7,3,3,1,5,1,2,1,3,3,0
221,7,4,1,3,2,1,1,1,2,1,0
221,7,5,2,1,5,1,2,1,2,1,0
221,7,6,3,3,5,1,2,2,2,4,1
221,7,7,0,0,0,0,0,0,0,0,0
221,8,1,1,1,2,1,1,1,1,1,0
221,8,2,2,1,2,1,2,1,4,1,0
221,8,3,3,1,5,1,3,2,3,2,0
221,8,4,1,1,1,1,1,1,1,1,0
221,8,5,2,3,1,1,1,1,3,2,0
221,8,6,3,1,2,1,2,2,3,3,0
221,8,7,0,0,0,0,0,0,0,0,1
221,9,1,1,1,1,1,1,1,2,1,0
221,9,2,2,1,3,1,2,1,3,2,0
221,9,3,3,1,5,2,2,2,4,3,0
221,9,4,1,3,2,1,1,1,1,1,0
221,9,5,2,3,3,1,1,1,3,2,0
221,9,6,3,3,6,1,3,1,4,4,0
221,9,7,0,0,0,0,0,0,0,0,1
221,10,1,1,1,2,1,1,1,2,1,0
221,10,2,2,1,3,1,2,1,4,1,0
221,10,3,3,1,5,1,2,2,4,2,0
221,10,4,1,2,3,1,1,1,1,1,0
221,10,5,2,1,2,1,2,1,2,2,0
221,10,6,3,3,6,2,3,2,3,4,1
221,10,7,0,0,0,0,0,0,0,0,0
221,11,1,1,1,2,1,1,1,1,1,0
221,11,2,2,1,2,1,2,1,2,1,0
221,11,3,3,1,3,2,3,1,2,2,0
221,11,4,1,2,2,1,1,1,1,1,0
221,11,5,2,1,3,1,2,1,2,1,0
221,11,6,3,1,3,2,2,1,2,3,1
221,11,7,0,0,0,0,0,0,0,0,0
221,12,1,1,1,2,1,1,1,1,1,0
221,12,2,2,1,1,1,2,1,4,1,0
221,12,3,3,1,2,2,3,2,4,2,0
221,12,4,1,2,2,1,1,1,2,1,0
221,12,5,2,3,1,1,2,1,4,1,0
221,12,6,3,3,6,2,3,2,3,3,1
221,12,7,0,0,0,0,0,0,0,0,0
221,13,1,1,1,2,1,1,1,1,1,0
221,13,2,2,1,1,1,2,1,3,2,0
221,13,3,3,1,2,2,3,2,4,3,0
221,13,4,1,1,1,1,1,1,2,1,0
221,13,5,2,3,5,1,2,1,2,2,0
221,13,6,3,3,3,1,2,2,2,4,0
221,13,7,0,0,0,0,0,0,0,0,1
221,14,1,1,1,2,1,1,1,1,1,0
221,14,2,2,1,3,1,2,1,4,1,0
221,14,3,3,1,5,1,3,1,3,1,0
221,14,4,1,2,3,1,1,1,2,1,0
221,14,5,2,3,5,1,1,1,2,2,0
221,14,6,3,1,2,2,3,2,4,3,1
221,14,7,0,0,0,0,0,0,0,0,0
293,1,1,1,1,1,1,1,1,2,1,0
293,1,2,2,1,2,1,2,1,4,2,0
293,1,3,3,1,2,1,2,1,4,4,0
293,1,4,1,1,1,1,1,1,1,1,0
293,1,5,2,1,3,1,2,1,3,2,1
293,1,6,3,1,6,2,2,2,2,4,0
293,1,7,0,0,0,0,0,0,0,0,0
293,2,1,1,1,2,1,1,1,1,1,0
293,2,2,2,1,3,1,2,1,3,1,0
293,2,3,3,1,3,2,3,1,4,1,1
293,2,4,1,2,2,1,1,1,1,1,0
293,2,5,2,3,2,1,1,1,3,1,0
293,2,6,3,3,5,2,2,2,3,3,0
293,2,7,0,0,0,0,0,0,0,0,0
293,3,1,1,1,1,1,1,1,2,1,0
293,3,2,2,1,2,1,2,1,2,1,0
293,3,3,3,1,5,2,2,1,2,2,0
293,3,4,1,3,2,1,1,1,2,1,0
293,3,5,2,3,1,1,2,1,2,2,1
293,3,6,3,3,2,2,3,1,3,4,0
293,3,7,0,0,0,0,0,0,0,0,0
293,4,1,1,1,2,1,1,1,1,1,0
293,4,2,2,1,3,1,1,1,2,2,0
293,4,3,3,1,5,1,2,1,4,2,0
293,4,4,1,3,1,1,1,1,2,1,0
293,4,5,2,3,2,1,2,1,4,2,1
293,4,6,3,3,3,2,3,2,4,3,0
293,4,7,0,0,0,0,0,0,0,0,0
293,5,1,1,1,2,1,1,1,1,1,0
293,5,2,2,1,1,1,1,1,4,1,0
293,5,3,3,1,5,1,2,2,3,3,0
293,5,4,1,3,2,1,1,1,1,1,1
293,5,5,2,1,5,1,1,1,4,1,0
293,5,6,3,1,2,2,3,1,2,4,0
293,5,7,0,0,0,0,0,0,0,0,0
293,6,1,1,1,1,1,1,1,2,1,0
293,6,2,2,1,3,1,1,1,4,2,0
293,6,3,3,1,5,2,3,2,3,3,0
293,6,4,1,1,3,1,1,1,1,1,0
293,6,5,2,1,2,1,2,1,2,2,1
293,6,6,3,1,3,1,3,2,3,4,0
293,6,7,0,0,0,0,0,0,0,0,0
293,7,1,1,1,2,1,1,1,1,1,0
293,7,2,2,1,1,1,2,1,2,1,0
293,7,3,3,1,2,2,3,2,3,2,0
293,7,4,1,2,3,1,1,1,2,1,0
293,7,5,2,1,3,1,1,1,3,2,1
293,7,6,3,3,1,1,3,1,4,4,0
293,7,7,0,0,0,0,0,0,0,0,0
293,8,1,1,1,1,1,1,1,1,1,0
293,8,2,2,1,2,1,2,1,3,2,0
293,8,3,3,1,3,1,3,2,2,2,0
293,8,4,1,2,3,1,1,1,2,1,0
293,8,5,2,3,5,1,2,1,4,2,1
293,8,6,3,3,4,1,2,2,2,3,0
293,8,7,0,0,0,0,0,0,0,0,0
293,9,1,1,1,2,1,1,1,2,1,0
293,9,2,2,1,1,1,1,1,3,1,0
293,9,3,3,1,3,2,3,2,2,3,0
293,9,4,1,1,1,1,1,1,2,1,0
293,9,5,2,3,1,1,1,1,2,1,1
293,9,6,3,1,6,1,2,1,4,4,0
293,9,7,0,0,0,0,0,0,0,0,0
293,10,1,1,1,2,1,1,1,1,1,0
293,10,2,2,1,1,1,1,1,2,1,1
293,10,3,3,1,3,2,2,2,3,1,0
293,10,4,1,1,3,1,1,1,2,1,0
293,10,5,2,1,5,1,2,1,3,2,0
293,10,6,3,3,6,1,2,1,3,3,0
293,10,7,0,0,0,0,0,0,0,0,0
293,11,1,1,1,2,1,1,1,2,1,0
293,11,2,2,1,2,1,1,1,2,1,1
293,11,3,3,1,5,1,3,2,2,1,0
293,11,4,1,1,2,1,1,1,1,1,0
293,11,5,2,1,3,1,1,1,2,2,0
293,11,6,3,3,4,1,3,2,4,3,0
293,11,7,0,0,0,0,0,0,0,0,0
293,12,1,1,1,2,1,1,1,2,1,0
293,12,2,2,1,1,1,2,1,3,2,0
293,12,3,3,1,3,2,2,1,3,2,0
293,12,4,1,1,1,1,1,1,1,1,0
293,12,5,2,3,2,1,2,1,2,2,1
293,12,6,3,3,2,2,3,1,3,3,0
293,12,7,0,0,0,0,0,0,0,0,0
293,13,1,1,1,2,1,1,1,2,1,0
293,13,2,2,1,2,1,1,1,4,2,1
293,13,3,3,1,3,2,3,1,3,3,0
293,13,4,1,3,1,1,1,1,1,1,0
293,13,5,2,1,1,1,2,1,3,2,0
293,13,6,3,3,1,2,3,2,2,4,0
293,13,7,0,0,0,0,0,0,0,0,0
293,14,1,1,1,2,1,1,1,2,1,0
293,14,2,2,1,1,1,2,1,2,1,0
293,14,3,3,1,2,1,2,1,3,2,0
293,14,4,1,1,2,1,1,1,1,1,0
293,14,5,2,1,1,1,2,1,4,2,1
293,14,6,3,3,5,1,2,1,4,4,0
293,14,7,0,0,0,0,0,0,0,0,0
150,1,1,1,1,2,1,1,1,2,1,0
150,1,2,2,1,1,1,1,1,4,1,0
150,1,3,3,1,3,2,3,1,4,2,0
150,1,4,1,3,2,1,1,1,1,1,0
150,1,5,2,3,5,1,2,1,4,2,1
150,1,6,3,3,2,1,2,1,4,4,0
150,1,7,0,0,0,0,0,0,0,0,0
150,2,1,1,1,1,1,1,1,1,1,0
150,2,2,2,1,3,1,2,1,4,2,1
150,2,3,3,1,5,2,3,1,3,2,0
150,2,4,1,3,3,1,1,1,2,1,0
150,2,5,2,1,1,1,1,1,2,2,0
150,2,6,3,1,6,1,2,1,2,3,0
150,2,7,0,0,0,0,0,0,0,0,0
150,3,1,1,1,1,1,1,1,1,1,0
150,3,2,2,1,3,1,2,1,2,1,0
150,3,3,3,1,2,1,3,1,3,3,0
150,3,4,1,1,1,1,1,1,1,1,0
150,3,5,2,3,3,1,1,1,4,1,0
150,3,6,3,3,5,1,3,2,3,4,1
150,3,7,0,0,0,0,0,0,0,0,0
150,4,1,1,1,2,1,1,1,2,1,0
150,4,2,2,1,2,1,2,1,3,1,1
150,4,3,3,1,5,1,2,2,3,4,0
150,4,4,1,2,3,1,1,1,1,1,0
150,4,5,2,3,2,1,1,1,4,1,0
150,4,6,3,3,3,2,2,1,4,4,0
150,4,7,0,0,0,0,0,0,0,0,0
150,5,1,1,1,1,1,1,1,2,1,0
150,5,2,2,1,1,1,2,1,3,1,0
150,5,3,3,1,5,2,2,2,2,1,0
150,5,4,1,2,1,1,1,1,1,1,0
150,5,5,2,1,1,1,2,1,2,2,0
150,5,6,3,3,3,2,3,2,2,3,1
150,5,7,0,0,0,0,0,0,0,0,0
150,6,1,1,1,2,1,1,1,1,1,0
150,6,2,2,1,1,1,2,1,2,1,0
150,6,3,3,1,5,1,3,1,2,2,1
150,6,4,1,1,3,1,1,1,2,1,0
150,6,5,2,3,3,1,2,1,3,2,0
150,6,6,3,1,2,2,2,2,4,4,0
150,6,7,0,0,0,0,0,0,0,0,0
150,7,1,1,1,1,1,1,1,2,1,0
150,7,2,2,1,3,1,1,1,3,1,0
150,7,3,3,1,3,1,3,2,4,2,0
150,7,4,1,1,2,1,1,1,2,1,0
150,7,5,2,1,5,1,1,1,3,2,0
150,7,6,3,1,6,2,3,2,2,3,1
150,7,7,0,0,0,0,0,0,0,0,0
150,8,1,1,1,2,1,1,1,1,1,0
150,8,2,2,1,2,1,1,1,2,1,0
150,8,3,3,1,3,2,2,2,4,3,0
150,8,4,1,2,2,1,1,1,2,1,0
150,8,5,2,3,2,1,2,1,2,2,1
150,8,6,3,1,1,1,3,2,3,4,0
150,8,7,0,0,0,0,0,0,0,0,0
150,9,1,1,1,2,1,1,1,1,1,0
150,9,2,2,1,2,1,1,1,4,1,0
150,9,3,3,1,2,2,2,2,2,3,0
150,9,4,1,3,1,1,1,1,2,1,0
150,9,5,2,1,2,1,2,1,3,1,1
150,9,6,3,3,4,2,3,1,3,4,0
150,9,7,0,0,0,0,0,0,0,0,0
150,10,1,1,1,2,1,1,1,2,1,0
150,10,2,2,1,2,1,1,1,3,1,0
150,10,3,3,1,2,2,3,2,4,2,1
150,10,4,1,3,3,1,1,1,2,1,0
150,10,5,2,1,1,1,1,1,4,2,0
150,10,6,3,1,5,1,2,2,4,4,0
150,10,7,0,0,0,0,0,0,0,0,0
150,11,1,1,1,1,1,1,1,1,1,0
150,11,2,2,1,2,1,1,1,4,1,0
150,11,3,3,1,5,2,2,2,3,2,1
150,11,4,1,2,1,1,1,1,1,1,0
150,11,5,2,3,5,1,2,1,3,1,0
150,11,6,3,3,6,1,2,2,4,4,0
150,11,7,0,0,0,0,0,0,0,0,0
150,12,1,1,1,1,1,1,1,2,1,0
150,12,2,2,1,1,1,2,1,2,1,0
150,12,3,3,1,5,2,2,1,4,3,1
150,12,4,1,3,3,1,1,1,2,1,0
150,12,5,2,1,5,1,1,1,3,1,0
150,12,6,3,1,3,2,3,2,4,4,0
150,12,7,0,0,0,0,0,0,0,0,0
150,13,1,1,1,1,1,1,1,1,1,0
150,13,2,2,1,3,1,1,1,3,1,0
150,13,3,3,1,5,2,2,1,3,2,0
